Datum;Ferienname
03.08.2014;Sommerferien
04.08.2014;Sommerferien
05.08.2014;Sommerferien
06.08.2014;Sommerferien
07.08.2014;Sommerferien
08.08.2014;Sommerferien
09.08.2014;Sommerferien
10.08.2014;Sommerferien
11.08.2014;Sommerferien
12.08.2014;Sommerferien
13.08.2014;Sommerferien
14.08.2014;Sommerferien
15.08.2014;Sommerferien
16.08.2014;Sommerferien
17.08.2014;Sommerferien
18.08.2014;Sommerferien
19.08.2014;Sommerferien
20.08.2014;Sommerferien
21.08.2014;Sommerferien
22.08.2014;Sommerferien
23.08.2014;Sommerferien
24.08.2014;Sommerferien
20.07.2015;Sommerferien
21.07.2015;Sommerferien
22.07.2015;Sommerferien
23.07.2015;Sommerferien
24.07.2015;Sommerferien
25.07.2015;Sommerferien
26.07.2015;Sommerferien
27.07.2015;Sommerferien
28.07.2015;Sommerferien
29.07.2015;Sommerferien
30.07.2015;Sommerferien
31.07.2015;Sommerferien
01.08.2015;Sommerferien
02.08.2015;Sommerferien
03.08.2015;Sommerferien
04.08.2015;Sommerferien
05.08.2015;Sommerferien
06.08.2015;Sommerferien
07.08.2015;Sommerferien
08.08.2015;Sommerferien
09.08.2015;Sommerferien
10.08.2015;Sommerferien
11.08.2015;Sommerferien
12.08.2015;Sommerferien
13.08.2015;Sommerferien
14.08.2015;Sommerferien
15.08.2015;Sommerferien
16.08.2015;Sommerferien
17.08.2015;Sommerferien
18.08.2015;Sommerferien
19.08.2015;Sommerferien
20.08.2015;Sommerferien
21.08.2015;Sommerferien
22.08.2015;Sommerferien
23.08.2015;Sommerferien
24.08.2015;Sommerferien
25.08.2015;Sommerferien
26.08.2015;Sommerferien
27.08.2015;Sommerferien
28.08.2015;Sommerferien
29.08.2015;Sommerferien
25.07.2016;Sommerferien
26.07.2016;Sommerferien
27.07.2016;Sommerferien
28.07.2016;Sommerferien
29.07.2016;Sommerferien
30.07.2016;Sommerferien
31.07.2016;Sommerferien
01.08.2016;Sommerferien
02.08.2016;Sommerferien
03.08.2016;Sommerferien
04.08.2016;Sommerferien
05.08.2016;Sommerferien
06.08.2016;Sommerferien
07.08.2016;Sommerferien
08.08.2016;Sommerferien
09.08.2016;Sommerferien
10.08.2016;Sommerferien
11.08.2016;Sommerferien
12.08.2016;Sommerferien
13.08.2016;Sommerferien
14.08.2016;Sommerferien
15.08.2016;Sommerferien
16.08.2016;Sommerferien
17.08.2016;Sommerferien
18.08.2016;Sommerferien
19.08.2016;Sommerferien
20.08.2016;Sommerferien
21.08.2016;Sommerferien
22.08.2016;Sommerferien
23.08.2016;Sommerferien
24.08.2016;Sommerferien
25.08.2016;Sommerferien
26.08.2016;Sommerferien
27.08.2016;Sommerferien
28.08.2016;Sommerferien
29.08.2016;Sommerferien
30.08.2016;Sommerferien
31.08.2016;Sommerferien
01.09.2016;Sommerferien
02.09.2016;Sommerferien
03.09.2016;Sommerferien
24.07.2017;Sommerferien
25.07.2017;Sommerferien
26.07.2017;Sommerferien
27.07.2017;Sommerferien
28.07.2017;Sommerferien
29.07.2017;Sommerferien
30.07.2017;Sommerferien
31.07.2017;Sommerferien
01.08.2017;Sommerferien
02.08.2017;Sommerferien
03.08.2017;Sommerferien
04.08.2017;Sommerferien
05.08.2017;Sommerferien
06.08.2017;Sommerferien
07.08.2017;Sommerferien
08.08.2017;Sommerferien
09.08.2017;Sommerferien
10.08.2017;Sommerferien
11.08.2017;Sommerferien
12.08.2017;Sommerferien
13.08.2017;Sommerferien
14.08.2017;Sommerferien
15.08.2017;Sommerferien
16.08.2017;Sommerferien
17.08.2017;Sommerferien
18.08.2017;Sommerferien
19.08.2017;Sommerferien
20.08.2017;Sommerferien
21.08.2017;Sommerferien
22.08.2017;Sommerferien
23.08.2017;Sommerferien
24.08.2017;Sommerferien
25.08.2017;Sommerferien
26.08.2017;Sommerferien
27.08.2017;Sommerferien
28.08.2017;Sommerferien
29.08.2017;Sommerferien
30.08.2017;Sommerferien
31.08.2017;Sommerferien
01.09.2017;Sommerferien
02.09.2017;Sommerferien
09.07.2018;Sommerferien
10.07.2018;Sommerferien
11.07.2018;Sommerferien
12.07.2018;Sommerferien
13.07.2018;Sommerferien
14.07.2018;Sommerferien
15.07.2018;Sommerferien
16.07.2018;Sommerferien
17.07.2018;Sommerferien
18.07.2018;Sommerferien
19.07.2018;Sommerferien
20.07.2018;Sommerferien
21.07.2018;Sommerferien
22.07.2018;Sommerferien
23.07.2018;Sommerferien
24.07.2018;Sommerferien
25.07.2018;Sommerferien
26.07.2018;Sommerferien
27.07.2018;Sommerferien
28.07.2018;Sommerferien
29.07.2018;Sommerferien
30.07.2018;Sommerferien
31.07.2018;Sommerferien
01.08.2018;Sommerferien
02.08.2018;Sommerferien
03.08.2018;Sommerferien
04.08.2018;Sommerferien
05.08.2018;Sommerferien
06.08.2018;Sommerferien
07.08.2018;Sommerferien
08.08.2018;Sommerferien
09.08.2018;Sommerferien
10.08.2018;Sommerferien
11.08.2018;Sommerferien
12.08.2018;Sommerferien
13.08.2018;Sommerferien
14.08.2018;Sommerferien
15.08.2018;Sommerferien
16.08.2018;Sommerferien
17.08.2018;Sommerferien
18.08.2018;Sommerferien
23.12.2013;Winterferien
24.12.2013;Winterferien
25.12.2013;Winterferien
26.12.2013;Winterferien
27.12.2013;Winterferien
28.12.2013;Winterferien
29.12.2013;Winterferien
30.12.2013;Winterferien
31.12.2013;Winterferien
01.01.2014;Winterferien
02.01.2014;Winterferien
03.01.2014;Winterferien
04.01.2014;Winterferien
05.01.2014;Winterferien
06.01.2014;Winterferien
22.12.2014;Winterferien
23.12.2014;Winterferien
24.12.2014;Winterferien
25.12.2014;Winterferien
26.12.2014;Winterferien
27.12.2014;Winterferien
28.12.2014;Winterferien
29.12.2014;Winterferien
